Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
10/06/1982,14:25:48,"2.4",19.3,-99.3,"4","4 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",10/06/1982,20:25:48,revisado
26/06/1982,05:47:37,no calculable,19.3,-99.2,"5","3 km al SURESTE de TLALPAN, CDMX",26/06/1982,11:47:37,revisado
30/01/1983,12:09:37,no calculable,19.37,-99.24,"9","5 km al ESTE de CUAJIMALPA, CDMX",30/01/1983,18:09:37,revisado
21/03/1983,21:29:40,no calculable,19.2,-98.96,"10","3 km al SUR de S ANDRES MIXQUIC, CDMX",22/03/1983,03:29:40,revisado
29/11/1983,12:08:33,no calculable,19.25,-99.22,"5","4 km al NOROESTE de S MIGUEL AJUSCO, CDMX",29/11/1983,18:08:33,revisado
29/11/1983,12:56:46,no calculable,19.19,-99.2,"5","3 km al SUR de S MIGUEL AJUSCO, CDMX",29/11/1983,18:56:46,revisado
04/12/1983,12:57:32,no calculable,19.26,-99.22,"4","5 km al NOROESTE de S MIGUEL AJUSCO, CDMX",04/12/1983,18:57:32,revisado
07/12/1983,13:30:28,no calculable,19.21,-99.11,"4","3 km al NOROESTE de S SALVADOR CUAUHTENCO, CDMX",07/12/1983,19:30:28,revisado
12/12/1983,19:43:02,no calculable,19.09,-99.19,"4","13 km al SUROESTE de S MIGUEL TOPILEJO, CDMX",13/12/1983,01:43:02,revisado
23/12/1983,13:40:44,no calculable,19.3,-99.26,"4","4 km al OESTE de TLALPAN, CDMX",23/12/1983,19:40:44,revisado
07/02/1984,08:02:01,no calculable,19.17,-98.96,"11","6 km al SUR de S ANDRES MIXQUIC, CDMX",07/02/1984,14:02:01,revisado
08/02/1984,11:33:22,no calculable,19.16,-98.96,"9","7 km al SURESTE de S ANTONIO TECOMITL, CDMX",08/02/1984,17:33:22,revisado
09/02/1984,13:46:23,no calculable,19.17,-98.96,"6","6 km al SUR de S ANDRES MIXQUIC, CDMX",09/02/1984,19:46:23,revisado
15/02/1984,02:42:09,no calculable,19.19,-99.03,"9","1 km al SUROESTE de MILPA ALTA, CDMX",15/02/1984,08:42:09,revisado
10/07/1984,18:20:04,no calculable,19.36,-99.05,"1","5 km al ESTE de IZTAPALAPA, CDMX",11/07/1984,00:20:04,revisado
19/11/1984,05:44:45,no calculable,19.52,-99.1,"33","4 km al NORESTE de GUSTAVO A. MADERO, CDMX",19/11/1984,11:44:45,revisado
27/11/1984,10:28:22,no calculable,19.29,-99.05,"5","2 km al SURESTE de TLAHUAC, CDMX",27/11/1984,16:28:22,revisado
11/10/1985,11:13:55,no calculable,19.5,-99.19,"4","2 km al NOROESTE de AZCAPOTZALCO, CDMX",11/10/1985,17:13:55,revisado
14/10/1985,12:45:55,no calculable,19.16,-99.15,"4","5 km al SUR de S MIGUEL TOPILEJO, CDMX",14/10/1985,18:45:55,revisado
15/10/1985,12:20:12,no calculable,19.18,-99.16,"4","3 km al SUROESTE de S MIGUEL TOPILEJO, CDMX",15/10/1985,18:20:12,revisado
16/10/1985,13:40:35,no calculable,19.35,-99.31,"4","3 km al NORESTE de SAN LORENZO ACOPILCO, CDMX",16/10/1985,19:40:35,revisado
17/10/1985,09:42:25,no calculable,19.23,-99.17,"4","4 km al NORESTE de S MIGUEL AJUSCO, CDMX",17/10/1985,15:42:25,revisado
17/10/1985,12:47:52,no calculable,19.16,-99.16,"4","5 km al SUROESTE de S MIGUEL TOPILEJO, CDMX",17/10/1985,18:47:52,revisado
19/10/1985,02:28:37,no calculable,19.09,-99.2,"5","14 km al SUROESTE de S MIGUEL TOPILEJO, CDMX",19/10/1985,08:28:37,revisado
19/10/1985,13:19:02,no calculable,19.28,-99.29,"4","7 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",19/10/1985,19:19:02,revisado
20/10/1985,00:55:28,no calculable,19.44,-99.16,"4","2 km al OESTE de CUAUHTEMOC, CDMX",20/10/1985,06:55:28,revisado
25/10/1985,09:17:39,no calculable,19.1,-99.17,"4","12 km al SUR de S MIGUEL TOPILEJO, CDMX",25/10/1985,15:17:39,revisado
25/10/1985,14:35:52,no calculable,19.41,-99.17,"10","2 km al NOROESTE de BENITO JUAREZ, CDMX",25/10/1985,20:35:52,revisado
29/10/1985,23:58:22,no calculable,19.45,-99.12,"4","3 km al NORESTE de CUAUHTEMOC, CDMX",30/10/1985,05:58:22,revisado
30/10/1985,12:21:52,no calculable,19.21,-99.15,"4","1 km al NOROESTE de S MIGUEL TOPILEJO, CDMX",30/10/1985,18:21:52,revisado
31/10/1985,09:40:33,no calculable,19.13,-99.16,"4","8 km al SUR de S MIGUEL TOPILEJO, CDMX",31/10/1985,15:40:33,revisado
28/11/1985,08:23:18,no calculable,19.38,-99.14,"1","3 km al SURESTE de BENITO JUAREZ, CDMX",28/11/1985,14:23:18,revisado
05/01/1986,08:29:34,"2.5",19.3,-99.15,"1","3 km al NOROESTE de XOCHIMILCO, CDMX",05/01/1986,14:29:34,revisado
